"","V1"
"158",3.59685849151312
"159",2.57661793112441
"160",2.69940343877375
"161",2.49758105934285
"162",1.70486719059779
"163",3.64894143560961
"164",5.032813168468
"165",1.11787685160182
"166",2.73732306845371
"167",3.59797376875132
"168",3.29132526417101
"169",1.83509022889535
"170",2.547239303291
"171",1.8258584008801
"172",1.76889544268032
"173",2.75338290752158
"174",4.47443749602152
"175",4.26928452419047
"176",4.43748777913729
"177",4.42401529078945
"178",3.59401219514575
"179",2.70336501247934
"180",3.69353537675988
"181",1.74488170360711
"182",1.76175775578839
"183",2.40090417399606
"184",2.56084535014145
"185",4.31449631987614
"186",4.49964859863756
"187",4.3229649288135
"188",1.91864668405461
"189",3.48879430795243
"190",2.48446062925534
"191",3.58928740236228
"192",2.5405657339267
"193",1.88947400773299
"194",3.40487820169907
"195",3.2502080220694
"196",2.65391271994297
"197",2.68690086322163
"198",2.54396929786015
"199",1.75508344431807
"200",1.82314566301534
"201",2.50701958097592
"202",2.64953924331381
"203",2.68669491170984
"204",2.557441786208
"205",4.34311098642562
"206",3.57407208894541
"207",4.17100674484255
"208",2.50701958097592
"209",3.147496179023
"210",2.53619225729754
"211",1.71647298856942
"212",4.35651108176428
"213",2.56063939862965
"214",2.33319401355912
"215",3.4880303466685
"216",1.8316866649619
"217",3.11561150714268
"218",1.90162526723082
"219",2.5111871061933
"220",2.68329134777638
"221",5.04094226729095
"222",2.51535463131066
"223",1.8258584008801
"224",2.68690086322163
"225",2.65731628387642
"226",3.42607547868003
"227",2.55140682850838
"228",1.72570481648465
"229",2.53563424752541
"230",4.34311098642562
"231",2.65828619667214
"232",4.31900335510792
"233",2.62030598002289
"234",1.91675849444308
"235",3.41321325203381
"236",4.23163143299162
"237",4.14239207829306
"238",4.14239207829306
"239",3.22916444467075
"240",4.31046235326138
"241",2.63813939685398
"242",2.53202473208016
"243",3.400864376064
"244",2.57411114477145
"245",2.53980177274279
"246",2.52097694388067
"247",4.51173927116609
"248",4.38630161262129
"249",2.41778022627736
"250",4.45318796711107
"251",4.33165203740858
"252",3.60915511555344
"253",2.51535463131066
"254",2.67495629744164
"255",2.50057272025271
"256",3.69915768932989
"257",3.2400055391524
"258",5.00003097670113
"259",3.25854307240414
"260",4.31866384509352
"261",4.40728460305065
"262",4.17156475461468
"263",3.28299021383627
"264",2.50868031984034
"265",1.70979867699908
"266",4.42229396495573
"267",3.6026867554949
"268",3.65686458292076
"269",2.88436990700305
"270",2.54529052671017
"271",1.70320645173337
"272",3.18597381847508
"273",3.14826014030692
"274",1.81931764791239
"275",4.27274867509323
"276",3.29549278938839
"277",3.46302519556426
"278",3.67228584784943
"279",2.58551099123129
"280",4.43672381785336
"281",4.42061172685599
"282",2.68690086322163
"283",2.57661793112441
"284",1.72153729136729
"285",3.66916120696108
"286",3.00983561017723
"287",4.31066830477318
"288",2.53278795115805
"289",5.01593711618671
"290",2.52368968174542
"291",4.49131354830282
"292",1.84286801166401
"293",4.38630161262129
"294",4.37776061077475
"295",1.99635337599678
"296",1.83925775401271
"297",1.82258839544926
"298",2.53223068359196
"299",4.29872373899319
"300",2.69940343877375
"301",4.21073322013546
"302",4.17683500892435
"303",3.22499691945336
"304",3.33320646755655
"305",3.72020126672854
"306",1.92391768057032
"307",3.42607547868003
"308",4.39534003727066
"309",4.44089134307074
"310",1.83925775401271
"311",1.73007829321383
"312",4.90204466864424
"313",3.45469014522952
"314",2.53223068359196
"315",4.4450588681881
"316",2.557441786208
"317",1.81931764791239
"318",1.76252171707232
"319",4.4727161701878
"320",2.63565485194237
"321",3.2502080220694
"322",4.29435026226401
"323",1.6929226248178
"324",1.83759701514829
"325",4.41644420163861
"326",2.50701958097592
"327",3.59345492757966
"328",3.33627052137558
"329",1.75856014336673
"330",3.49261051711552
"331",1.70563115188172
"332",3.45962163163081
"333",4.41130676372553
"334",3.13971913846039
"335",4.43672381785336
"336",4.34838198294134
"337",4.28545720215714
"338",3.53428502678322
"339",2.56250608900587
"340",1.73007829321383
"341",2.66168976060559
"342",3.68575833609725
"343",2.66168976060559
"344",2.73732306845371
"345",2.28067692499768
"346",3.53824660038878
"347",1.68458757438304
"348",2.47160599544289
"349",1.89072358577986
"350",1.9755157500099
"351",2.66168976060559
"352",3.13916112868826
"353",3.6951961156243
"354",4.3692196088282
"355",4.33282715951006
"356",1.91509775557866
"357",4.3306084108735
"358",1.79410654529635
"359",3.55568066244221
"360",2.47236995672681
"361",2.63307509405611
"362",3.45128658129607
"363",2.39256912366132
"364",1.96718069967516
"365",3.54241412560616
"366",4.43631191482977
"367",4.31559979117447
"368",2.64044023169514
"369",2.68690086322163
"370",1.869885959893
"371",2.45659737574385
"372",4.37228366274725
"373",3.00659740498028
"374",2.44639489282685
"375",3.6024808039831
"376",4.30685283781613
"377",2.53619225729754
"378",1.73459787659152
"379",4.36505208371084
"380",4.39956814945734
"381",4.88954209309212
"382",2.50701958097592
"383",5.19617045669275
"384",2.57300841567916
"385",3.78125935713652
"386",1.73007829321383
"387",2.64892064657238
"388",5.18005836569538
"389",2.557441786208
"390",4.40713923850815
"391",2.53980177274279
