"","V1"
"133",-1.79073769300174
"134",-1.64979009971125
"135",-1.29350371817258
"136",-1.74471735157994
"137",-1.39574878253541
"138",-2.37789004675951
"139",-0.947449652092244
"140",-1.99091321787215
"141",-1.06394552367434
"142",-1.69140315184222
"143",-1.17271999134302
"144",-1.66759724129831
"145",-0.56284901035282
"146",-1.1606229353141
"147",-2.00260458711466
"148",-1.22694958416365
"149",-0.942446297371369
"150",-1.37737964455993
"151",-0.645379967867808
"152",-1.12495591573155
"153",-1.51531200469642
"154",-1.43260817908559
"155",-1.52580189223018
"156",-0.961708039064787
"157",-1.48687950564104
"158",-1.21114583501054
"159",-1.05169763988583
"160",-1.39621323703703
"161",-0.581100698594273
"162",-0.817818257292505
"163",-2.40306600585238
"164",-1.11338017491148
"165",-0.847037102487655
"166",-0.870592932931636
"167",-0.471287785209005
"168",-1.10536477647377
"169",-2.01232829671364
"170",-1.13857722115704
"171",-2.60828854617724
"172",-1.34869346499135
"173",-0.701605714440603
"174",-1.22848250345095
"175",-0.247078979995068
"176",-2.39639182014056
"177",-1.30571259659829
"178",-0.669624913796796
"179",-1.01836401701395
"180",-1.60454191012635
"181",-1.3849107884343
"182",-0.743172455217148
"183",-1.48103864918498
"184",-1.52220337221523
"185",-0.864969072994643
"186",-2.05593625678769
"187",-1.08671154968028
"188",-0.774896347921466
"189",-0.514586952188303
"190",-0.452596468078373
"191",-1.53164704062245
"192",-1.45602644054542
"193",-1.5589989653596
"194",-1.31359939578938
"195",-1.72320790066174
"196",-1.07752654127933
"197",-1.35429927551348
"198",-1.05282227876665
"199",-0.903823374969983
"200",-0.818572466302003
"201",-1.09688402043961
"202",-0.986572066918255
"203",-1.22823781944466
"204",-1.2498933326621
"205",-1.33984793462854
"206",-2.12237575723683
"207",-1.06503929186363
"208",-1.85787481081561
"209",-0.6951225832482
"210",-1.06445558860663
"211",-0.688764561998757
"212",-1.47977011313819
"213",-1.22410556224074
"214",-0.283072609462914
"215",-0.7507897806523
"216",-0.834222266773679
"217",-0.862049466916609
"218",-2.04218294933971
"219",-1.6359304800212
"220",-1.06669407509683
"221",-1.0021043657589
"222",-1.76504659585265
"223",-1.26770921785373
"224",-1.62595911775559
"225",-1.66268382526193
"226",-2.11534464645615
"227",-1.26756440444983
"228",-0.993170020234167
"229",-1.61052453990181
"230",-0.8826209540496
"231",-1.32758898094374
"232",-1.43656560919908
"233",-0.130917888540655
"234",-1.3467796951414
"235",-1.29563745286835
"236",-2.26691838715868
"237",-0.848949295472016
"238",-1.02566157509633
"239",-1.04266919571028
"240",-0.967506633456542
"241",-2.21422647747771
"242",-0.976229658584
"243",-1.63620621085055
"244",-0.601737863892732
"245",-1.15692774013655
"246",-0.893061322605606
"247",-0.733801421433695
"248",-1.08982759119527
"249",-1.58444565022752
"250",-0.969061972731527
"251",-1.62854968204009
"252",-1.19498345351542
"253",-1.53382932993426
"254",-1.12162793227543
"255",-0.468392746087045
"256",-1.03248480026968
"257",-0.934540450682065
"258",-1.09981961262047
"259",-0.865491341367102
"260",-0.594209719569977
"261",0.0622970861857186
"262",-0.749896788356123
"263",-1.61224783783135
"264",-2.27512355448859
"265",-0.944501104608768
"266",-1.00955485222728
"267",-1.55835899924212
"268",-0.530706673960801
"269",-1.06102369904321
"270",-0.812815754379692
"271",-2.07491727474464
"272",-0.848373776960358
"273",-1.1273360639399
"274",-1.44474349125703
"275",-1.31868108304279
"276",-1.43332619453614
"277",-1.1327487042738
"278",-2.04909147071356
"279",-0.796022680327925
"280",-1.3047257463458
"281",-0.976844032086928
"282",-1.22062263130116
"283",-0.621535999926163
"284",-0.689567624374257
"285",-0.605840924887399
"286",-1.18979192872355
"287",-1.42711950830063
"288",-0.836527947926945
"289",-1.08118805288548
"290",-1.67565637212647
"291",-1.38736687668654
"292",-1.25238365377686
"293",-1.40608352254777
"294",-1.90705184403319
"295",-1.38807780931231
"296",-0.987761718751811
"297",-2.43936871112685
"298",-2.38327388333256
"299",-1.34356146630623
"300",-1.11968866032467
"301",-0.294388721941831
"302",-0.883931098449295
"303",-1.48264037997428
"304",-0.476155168839311
"305",-1.05476701892028
"306",-1.26698492770351
