,estimator,DGP,dataset,mse,mab,length,coverage
30,DML OLS,3,0,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
31,DML OLS,3,1,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
32,DML OLS,3,2,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
33,DML OLS,3,3,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
34,DML OLS,3,4,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
35,DML OLS,3,5,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
36,DML OLS,3,6,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
37,DML OLS,3,7,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
38,DML OLS,3,8,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
39,DML OLS,3,9,0.010419811434236289,0.05000376803360973,0.5441244054516817,1.0
40,DML OLS,4,0,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
41,DML OLS,4,1,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
42,DML OLS,4,2,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
43,DML OLS,4,3,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
44,DML OLS,4,4,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
45,DML OLS,4,5,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
46,DML OLS,4,6,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
47,DML OLS,4,7,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
48,DML OLS,4,8,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
49,DML OLS,4,9,0.011587643727177405,0.08977028870532935,0.5450840452735404,1.0
50,DML OLS,5,0,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
51,DML OLS,5,1,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
52,DML OLS,5,2,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
53,DML OLS,5,3,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
54,DML OLS,5,4,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
55,DML OLS,5,5,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
56,DML OLS,5,6,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
57,DML OLS,5,7,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
58,DML OLS,5,8,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
59,DML OLS,5,9,0.025893335218011748,0.14704503288644344,0.5387559833489718,1.0
60,DML OLS,6,0,0.02402912044020096,0.13910021262364158,0.5531597796910813,1.0
61,DML OLS,6,1,0.02402912044020096,0.13910021262364158,0.5531597796910813,1.0
62,DML OLS,6,2,0.02402912044020096,0.13910021262364158,0.5531597796910813,1.0
63,DML OLS,6,3,0.02402912044020096,0.13910021262364158,0.5531597796910813,1.0
